CÓDIGO,NOMBRE,OBSERVACIONES,,,,
51526102,CHALECO DE SEGURIDAD,,,,,
51526103,CHALECO DE SEGURIDAD,,,,,
51527101,PROTECTOR FACIAL,,,,,
51527201,CASCO DE SEGURIDAD,,,,,
51527202,CASCO DE SEGURIDAD,,,,,
51528101,ARNES,,,,,
51528102,ARNES,,,,,
51529101,BOTAS INDUSTRIALES,,,,,
52113201,ANTROPÓMETRO,,,,,
52113202,ANTROPÓMETRO,,,,,
52113203,ANTROPÓMETRO,,,,,
52113204,ANTROPÓMETRO,,,,,
52113205,ANTROPÓMETRO,,,,,
52113301,BASCULA,,,,,
52143101,TECLADO ESTACION DE CALIDAD,,,,,
52143102,TECLADO ESTACION DE CALIDAD,,,,,
52143103,TECLADO ESTACION DE CALIDAD,,,,,
52143201,TECLADO ESTACION DE TRABAJO,,,,,
52143202,TECLADO ESTACION DE TRABAJO,,,,,
52143501,TECLADO ADICIONAL,,,,,
52143502,TECLADO ADICIONAL,,,,,
52145101,CAÑON LCD,,,,,
52145201,CABLE ALIMENTACIÓN ,,,,,
52145202,CABLE ALIMENTACIÓN ,,,,,
52145301,CABLE VGA,,,,,
52145302,CABLE VGA,,,,,
52244101,MOUSE ESTACION DE CALIDAD,,,,,
52244102,MOUSE ESTACION DE CALIDAD,,,,,
52244103,MOUSE ESTACION DE CALIDAD,,,,,
52244107,MOUSE ESTACION DE TRABAJO 2,,,,,
52244201,MOUSE ESTACION DE TRABAJO 1,,,,,
52244202,MOUSE ESTACION DE TRABAJO 2,,,,,
52244203,MOUSE ESTACION DE TRABAJO 3,,,,,
52244204,MOUSE ESTACION DE TRABAJO 1,,,,,
52244205,MOUSE ESTACION DE TRABAJO 2,,,,,
52244206,MOUSE ESTACION DE TRABAJO 3,,,,,
52244208,MOUSE ESTACION DE TRABAJO1,,,,,
52245201,CABLE ALIMENTACIÓN PARA PLC ,,,,,
52245202,CABLE ALIMENTACIÓN PARA PLC,,,,,
52245301,CABLE VGA PARA BANDA,,,,,
52245302,CABLE VGA PARA BANDA,,,,,
52245303,CABLE VGA PARA BANDA,,,,,
